Time,domination
2025-04-09,46.10103896103896
2025-04-10,50.46194805194805
2025-04-11,51.70792207792208
2025-04-12,49.21597402597403
2025-04-13,56.69181818181818
2025-04-14,53.57688311688312
2025-04-15,45.32780213903743
2025-04-16,49.531132161955696
2025-04-17,49.21963865546219
2025-04-18,49.86827807486631
2025-04-19,48.25950572956455
2025-04-20,54.720247517188696
2025-04-21,56.01752635599694
2025-04-22,53.42296867838044
2025-04-23,47.27372039724981
2025-04-24,46.31358747135218
2025-04-25,50.51691749427043
2025-04-26,48.57099923605806
2025-04-27,57.314805194805196
2025-04-28,51.165556913674564
2025-04-29,45.32780213903743
2025-04-30,45.66494805194805
2025-05-01,57.314805194805196
2025-05-02,45.016308632543925
2025-05-03,49.21963865546219
2025-05-04,49.86827807486631
2025-05-05,56.66616577540107
2025-05-06,54.07160809778456
2025-05-07,46.625080977845684
2025-05-08,45.32780213903743
2025-05-09,51.814196333078684
2025-05-10,45.016308632543925
2025-05-11,45.97644155844156
2025-05-12,53.11147517188694
2025-05-13,49.86827807486631
2025-05-14,39.78321772345302
2025-05-15,49.22330328495035
2025-05-16,43.82896867838044
2025-05-17,44.503260504201684
2025-05-18,46.52613598166539
2025-05-19,51.9204705882353
2025-05-20,43.82896867838044
2025-05-21,53.943346065699004
2025-05-22,45.17755233002292
2025-05-23,50.57188693659282
2025-05-24,45.17755233002292
2025-05-25,60.68626432391138
2025-05-26,55.29192971734148
2025-05-27,53.26905423987777
2025-05-28,39.78321772345302
2025-05-29,49.22330328495035
2025-05-30,49.89759511077158
2025-05-31,45.17755233002292
2025-06-01,53.943346065699004
2025-06-02,48.549011459129105
2025-06-03,40.457509549274256
2025-06-04,43.154676852559206
2025-06-05,39.78321772345302
2025-06-06,49.89759511077158
2025-06-07,55.96622154316272
2025-06-08,48.549011459129105
2025-06-09,37.76034224598931
2025-06-10,41.80609320091673
2025-06-11,41.13180137509549
2025-06-12,51.9204705882353
2025-06-13,40.457509549274256
2025-06-14,37.76034224598931
2025-06-15,59.33768067226891
2025-06-16,49.89759511077158
2025-06-17,45.17755233002292
2025-06-18,45.17755233002292
2025-06-19,49.89759511077158
2025-06-20,53.26905423987777
2025-06-21,47.20042780748663
2025-06-22,43.154676852559206
2025-06-23,46.52613598166539
2025-06-24,53.943346065699004
2025-06-25,43.154676852559206
2025-06-26,39.10892589763178
2025-06-27,53.26905423987777
2025-06-28,49.89759511077158
2025-06-29,56.64051336898396
2025-06-30,45.851844155844155
2025-07-01,47.87471963330787
2025-07-02,41.80609320091673
2025-07-03,47.20042780748663
2025-07-04,56.64051336898396
2025-07-05,61.36055614973262
2025-07-06,57.314805194805196
2025-07-07,61.36055614973262
2025-07-08,52.59476241405653
2025-07-09,47.20042780748663
2025-07-10,45.851844155844155
2025-07-11,54.617637891520246
2025-07-12,48.549011459129105
2025-07-13,62.03484797555386
2025-07-14,50.57188693659282
2025-07-15,51.9204705882353
2025-07-16,43.154676852559206
2025-07-17,53.26905423987777
2025-07-18,53.943346065699004
2025-07-19,59.33768067226891
2025-07-20,64.05772345301757
2025-07-21,54.617637891520246
2025-07-22,48.549011459129105
2025-07-23,55.96622154316272
2025-07-24,48.549011459129105
2025-07-25,47.20042780748663
2025-07-26,66.75489075630252
2025-07-27,67.42918258212376
2025-07-28,45.851844155844155
2025-07-29,50.57188693659282
2025-07-30,50.57188693659282
2025-07-31,47.20042780748663
2025-08-01,49.89759511077158
2025-08-02,46.52613598166539
2025-08-03,49.22330328495035
2025-08-04,47.87471963330787
2025-08-05,45.851844155844155
2025-08-06,53.943346065699004
2025-08-07,47.20042780748663
2025-08-08,44.503260504201684
2025-08-09,58.66338884644767
2025-08-10,64.05772345301757
2025-08-11,55.29192971734148
2025-08-12,40.457509549274256
2025-08-13,43.154676852559206
2025-08-14,42.48038502673797
2025-08-15,42.48038502673797
2025-08-16,53.26905423987777
2025-08-17,49.22330328495035
2025-08-18,42.48038502673797
2025-08-19,43.154676852559206
2025-08-20,42.48038502673797
2025-08-21,47.20042780748663
2025-08-22,35.06317494270436
2025-08-23,42.48038502673797
2025-08-24,51.9204705882353
2025-08-25,43.82896867838044
2025-08-26,39.78321772345302
2025-08-27,41.80609320091673
2025-08-28,48.549011459129105
2025-08-29,47.87471963330787
2025-08-30,51.246178762414054
2025-08-31,55.29192971734148
2025-09-01,46.52613598166539
2025-09-02,46.52613598166539
2025-09-03,49.22330328495035
2025-09-04,43.82896867838044
2025-09-05,45.851844155844155
2025-09-06,43.82896867838044
2025-09-07,41.80609320091673
2025-09-08,52.59476241405653
2025-09-09,51.9204705882353
2025-09-10,38.43463407181054
2025-09-11,34.388883116883115
2025-09-12,49.22330328495035
2025-09-13,62.03484797555386
2025-09-14,48.549011459129105
2025-09-15,43.82896867838044
2025-09-16,43.82896867838044
2025-09-17,45.851844155844155
2025-09-18,41.80609320091673
2025-09-19,42.48038502673797
2025-09-20,48.549011459129105
2025-09-21,46.52613598166539
2025-09-22,49.89759511077158
2025-09-23,44.503260504201684
2025-09-24,49.22330328495035
2025-09-25,42.48038502673797
2025-09-26,51.9204705882353
2025-09-27,45.17755233002292
2025-09-28,43.154676852559206
2025-09-29,47.20042780748663
2025-09-30,46.52613598166539
2025-10-01,45.851844155844155
2025-10-02,39.10892589763178
2025-10-03,40.457509549274256
2025-10-04,43.154676852559206
2025-10-05,45.17755233002292
2025-10-06,42.48038502673797
2025-10-07,43.154676852559206
2025-10-08,45.17755233002292
2025-10-09,37.76034224598931
2025-10-10,42.48038502673797
2025-10-11,45.851844155844155
2025-10-12,53.26905423987777
2025-10-13,49.89759511077158
2025-10-14,45.17755233002292
2025-10-15,46.52613598166539
2025-10-16,35.73746676852559
2025-10-17,45.851844155844155
2025-10-18,40.457509549274256
2025-10-19,45.17755233002292
2025-10-20,43.154676852559206
2025-10-21,57.98909702062643
2025-10-22,38.43463407181054
2025-10-23,48.549011459129105
2025-10-24,51.246178762414054
2025-10-25,50.57188693659282
2025-10-26,47.20042780748663
2025-10-27,44.503260504201684
2025-10-28,42.48038502673797
2025-10-29,50.57188693659282
2025-10-30,46.52613598166539
2025-10-31,49.22330328495035
2025-11-01,44.503260504201684
2025-11-02,47.20042780748663
2025-11-03,51.9204705882353
2025-11-04,48.549011459129105
2025-11-05,46.52613598166539
