Time,wordle_unlimited
2024-08-13,3.767010765147372
2024-08-14,4.4396912589236885
2024-08-15,4.977835653944742
2024-08-16,5.919588345231585
2024-08-17,2.825258073860529
2024-08-18,2.597425073750154
2024-08-19,5.535531362535851
2024-08-20,5.535531362535851
2024-08-21,6.6964520745451255
2024-08-22,7.106571823031992
2024-08-23,7.926811320005725
2024-08-24,2.52798654029883
2024-08-25,2.52798654029883
2024-08-26,7.243278405860948
2024-08-27,7.653398154347814
2024-08-28,8.473637651321546
2024-08-29,9.157170565466323
2024-08-30,8.747050816979456
2024-08-31,2.52798654029883
2024-09-01,2.938106288785696
2024-09-02,2.6646931231277855
2024-09-03,7.03930377365436
2024-09-04,8.473637651321546
2024-09-05,8.747050816979456
2024-09-06,9.703996896782147
2024-09-07,2.391279957469875
