Time,underworld
2022-12-05,33.37997725124763
2022-12-06,32.74572206938364
2022-12-07,34.53606309619369
2022-12-08,35.1125867684129
2022-12-09,35.68809760712959
2022-12-10,32.0319594575703
2022-12-11,38.04382113763092
2022-12-12,41.028735682483536
2022-12-13,33.76001122397415
2022-12-14,36.141055592038974
2022-12-15,32.499603528266505
2022-12-16,29.465566558540722
2022-12-17,33.04574219540954
2022-12-18,34.21853979314751
2022-12-19,27.59166676777115
2022-12-20,26.969059171186373
2022-12-21,29.940300463754703
2022-12-22,28.120080848619736
2022-12-23,25.705106558219843
2022-12-24,33.44805850519194
2022-12-25,29.839017113500738
2022-12-26,31.60251805249348
2022-12-27,31.575677964676178
2022-12-28,38.096709889037136
2022-12-29,32.11675246430651
2022-12-30,32.68365421825161
2022-12-31,35.03076866398135
2023-01-01,38.56030262572319
2023-01-02,38.58370663359304
2023-01-03,32.073599609830715
2023-01-04,41.60209269928143
2023-01-05,34.491188955657705
2023-01-06,35.107108265219615
2023-01-07,45.25008041759409
2023-01-08,48.851980243486125
2023-01-09,37.5553028521072
2023-01-10,41.75331859628665
2023-01-11,44.16586707888013
2023-01-12,41.80372722862171
2023-01-13,34.65825756568251
2023-01-14,47.83329812680774
2023-01-15,55.63969480675088
2023-01-16,47.29227164242938
2023-01-17,41.33075239789569
2023-01-18,40.1568837059572
2023-01-19,40.181007837146126
2023-01-20,42.005361757962
2023-01-21,51.03711594715729
2023-01-22,48.06373758891093
2023-01-23,45.68791539559014
2023-01-24,42.707695865812596
2023-01-25,43.33513714847967
2023-01-26,44.56553552096534
2023-01-27,45.194777111930094
2023-01-28,51.251352634581345
2023-01-29,53.69522648155449
2023-01-30,41.05005049336201
2023-01-31,50.13509380816866
2023-02-01,39.89022420614544
2023-02-02,36.8902012850934
2023-02-03,38.122399965876745
2023-02-04,38.75056137186289
2023-02-05,46.64949389830682
2023-02-06,38.19045161952909
2023-02-07,36.39346238483798
2023-02-08,36.41506608441016
2023-02-09,41.29489242184664
2023-02-10,46.1804797458357
2023-02-11,53.50381986858579
2023-02-12,60.83580147116475
2023-02-13,40.17539304049813
2023-02-14,44.46270407624256
2023-02-15,45.707864976769216
2023-02-16,43.29567655583526
2023-02-17,41.49076596463435
2023-02-18,47.00991561950259
2023-02-19,43.37236968931648
2023-02-20,58.067658258854046
2023-02-21,37.30751274849589
2023-02-22,37.329476509727606
2023-02-23,36.739121577992755
2023-02-24,36.14804652293885
2023-02-25,39.8475230585652
2023-02-26,41.09772482232536
2023-02-27,38.05305425549083
2023-02-28,49.74363910240239
2023-03-01,34.410827523730745
2023-03-02,36.275508350414675
2023-03-03,36.91195117457015
2023-03-04,38.780232617849435
2023-03-05,41.26659374064785
2023-03-06,40.05815912939389
2023-03-07,36.99836597285884
2023-03-08,37.63696916697154
2023-03-09,34.57213514720298
2023-03-10,36.445457453715775
2023-03-11,37.08478077114754
2023-03-12,38.343263953077035
2023-03-13,35.271588761777295
2023-03-14,36.53043200536633
2023-03-15,35.31263579096443
2023-03-16,42.15183917154285
2023-03-17,35.353682820151555
2023-03-18,38.477206890424505
