Time,minecraft
2024-07-12,82.51823607565245
2024-07-13,83.4250298786816
2024-07-14,84.33182368171074
2024-07-15,78.89106086353586
2024-07-16,77.98426706050671
2024-07-17,79.797854666565
2024-07-18,79.797854666565
2024-07-19,81.61144227262331
2024-07-20,90.67938030291478
2024-07-21,88.86579269685649
2024-07-22,80.70464846959416
2024-07-23,77.07747325747756
2024-07-24,77.07747325747756
2024-07-25,77.07747325747756
2024-07-26,73.45029804536097
2024-07-27,79.797854666565
2024-07-28,88.86579269685649
2024-07-29,75.26388565141927
2024-07-30,73.45029804536097
2024-07-31,68.91632903021524
2024-08-01,74.35709184839013
2024-08-02,70.72991663627353
2024-08-03,83.4250298786816
2024-08-04,87.95899889382734
2024-08-05,74.35709184839013
2024-08-06,76.17067945444842
2024-08-07,71.63671043930268
2024-08-08,71.63671043930268
2024-08-09,72.54350424233182
2024-08-10,74.35709184839013
2024-08-11,83.4250298786816
2024-08-12,68.00953522718609
2024-08-13,68.00953522718609
2024-08-14,67.10274142415693
2024-08-15,59.84839099992376
2024-08-16,67.10274142415693
2024-08-17,77.07747325747756
2024-08-18,85.10696559028158
2024-08-19,67.54149619040777
2024-08-20,64.48179921194759
2024-08-21,61.4221022334874
2024-08-22,60.96870533197283
2024-08-23,61.4221022334874
2024-08-24,77.62738092881747
2024-08-25,84.653568688767
2024-08-26,60.515308430458255
2024-08-27,58.36240525502721
2024-08-28,57.00221455048349
2024-08-29,54.84931137505245
2024-08-30,60.515308430458255
2024-08-31,71.50798697189711
2024-09-01,74.56768395035729
2024-09-02,78.53417473184663
2024-09-03,54.84931137505245
2024-09-04,78.53417473184663
2024-09-05,82.0472686118214
2024-09-06,70.60119316886797
2024-09-07,85.10696559028158
2024-09-08,87.7132656672272
2024-09-09,61.875499135001974
2024-09-10,55.302708276567024
2024-09-11,57.00221455048349
2024-09-12,54.84931137505245
2024-09-13,57.45561145199807
2024-09-14,71.50798697189711
2024-09-15,74.11428704884273
2024-09-16,57.00221455048349
2024-09-17,54.38420076532689
2024-09-18,57.78321331315982
2024-09-19,50.985188217493956
2024-09-20,57.78321331315982
2024-09-21,64.58123840882568
