,Count,Mean,Std,Min,25%,50%,75%,Max
security,1612.0,58.51488833746898,13.863843267076001,28.15765765765766,50.16581071166544,58.66189793893972,65.08604798525303,117.08185053380782
segregation,1612.0,15.781637717121589,10.289058955956502,1.4,8.511730205278592,13.645512820512822,21.6,132.91139240506328
shortage,1612.0,19.883374689826304,12.890836619389555,3.141025641025641,11.514018691588785,17.000388515114185,24.97,142.5661914460285
skill,1612.0,56.25186104218362,13.296774799796669,36.57073170731707,47.6012252726085,53.02270156264979,59.42569485511532,109.48419301164724
squander,1612.0,57.776054590570716,91.73643517091033,0.0,0.0,0.0,113.81496802002223,630.0
steal,1612.0,33.16749379652605,20.7208681638033,16.16743119266055,22.481571989758045,24.34364261168385,28.791830150594212,135.1129363449692
subsidize,1612.0,24.69106699751861,16.022427266078218,0.0,17.396774193548385,24.76086504470784,32.70606538333887,303.6144578313253
subsidy,1612.0,20.344913151364764,17.14178340707801,1.3636363636363635,11.871164690272826,17.31752887995982,25.666666666666668,463.6363636363637
success,1612.0,53.195409429280396,17.08556125352188,15.722513089005236,40.290076335877856,53.64753646310358,61.84771126760563,218.94273127753303
successful,1612.0,67.06265508684864,19.91478449358353,17.30674846625767,49.6130629559739,66.35598129237106,83.63626946811637,123.34677419354836
tariff,1612.0,8.148883374689825,14.5008783329574,0.0,1.598352053915276,3.7763599616333243,10.051282051282053,222.1153846153846
thrift,1612.0,71.03349875930522,15.247794994133026,31.673553719008268,59.87531172069826,67.38885746606334,78.82428355957768,134.4139650872818
thrifty,1612.0,78.64454094292805,11.554472840564625,42.96376811594203,70.8584342811548,78.59608046960989,86.26850091268635,184.09785932721712
treasure,1612.0,75.51923076923077,11.403722270412848,43.2,67.1303317535545,74.00228832951944,82.31575251071001,132.0754716981132
underworld,1612.0,45.40818858560794,11.292479979254107,18.96414342629482,38.69723064205016,43.715207373271895,50.31199614543916,260.2230483271375
unemployed,1612.0,44.05334987593052,14.742511256239004,13.052486187845304,33.22425389631922,42.645468904908334,52.22522903453137,159.0909090909091
unprofitable,1612.0,22.2636476426799,81.37212383348972,0.0,0.0,0.0,0.0,609.0
vagabond,1612.0,46.11848635235732,8.9887734810089,27.865384615384613,40.670619235836625,44.85116733539844,49.80708591869631,151.76991150442478
vagrant,1612.0,29.272952853598014,10.107141609764572,0.0,23.86900938145969,28.471925007101603,32.99948033477381,216.71826625386996
valuable,1612.0,64.64267990074441,12.790207488546981,27.24324324324324,55.862068965517246,63.54238331846945,71.31263710972695,193.5153583617748
warfare,1612.0,19.771091811414394,11.589016558668614,6.204545454545455,14.285714285714286,16.497524752475247,20.198579545454546,147.03196347031962
waste,1612.0,48.25496277915633,11.415402747458772,20.25,42.235681114551085,47.30368532955352,53.00480769230769,111.32075471698111
worth,1612.0,73.77853598014889,8.45207479903775,54.97560975609756,67.94095252894104,72.44503154574133,78.45616131441375,120.7185628742515
