date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2025-05-21,1747800000,FED-25SEP-T3.50,,,,,,0.85,0.89,0.87,0.0,7265.0
2025-05-22,1747886400,FED-25SEP-T3.50,,,,,,0.85,0.89,0.87,0.0,7265.0
2025-05-23,1747972800,FED-25SEP-T3.50,,,,,,0.85,0.89,0.87,0.0,7265.0
2025-05-24,1748059200,FED-25SEP-T3.50,,,,,,0.85,0.89,0.87,0.0,7265.0
2025-05-25,1748145600,FED-25SEP-T3.50,,,,,,0.85,0.89,0.87,0.0,7265.0
2025-05-26,1748232000,FED-25SEP-T3.50,0.89,0.89,0.89,0.89,0.89,0.85,1.0,0.925,750.0,7265.0
2025-05-27,1748318400,FED-25SEP-T3.50,,,,,,0.85,1.0,0.925,0.0,7265.0
2025-05-28,1748404800,FED-25SEP-T3.50,,,,,,0.86,0.91,0.885,0.0,7265.0
2025-05-29,1748491200,FED-25SEP-T3.50,,,,,,0.87,0.91,0.89,0.0,7265.0
2025-05-30,1748577600,FED-25SEP-T3.50,0.85,0.87,0.87,0.85,0.8555,0.84,0.91,0.875,1381.0,5884.0
2025-05-31,1748664000,FED-25SEP-T3.50,0.91,0.91,0.91,0.91,0.91,0.85,0.91,0.88,446.0,6330.0
2025-06-01,1748750400,FED-25SEP-T3.50,,,,,,0.85,0.92,0.885,0.0,6330.0
2025-06-02,1748836800,FED-25SEP-T3.50,,,,,,0.86,0.92,0.89,0.0,6330.0
2025-06-03,1748923200,FED-25SEP-T3.50,,,,,,0.85,0.92,0.885,0.0,6330.0
2025-06-04,1749009600,FED-25SEP-T3.50,,,,,,0.6,0.98,0.79,0.0,6330.0
2025-06-05,1749096000,FED-25SEP-T3.50,,,,,,0.87,0.93,0.9,0.0,6330.0
2025-06-06,1749182400,FED-25SEP-T3.50,0.92,0.92,0.92,0.92,0.92,0.86,0.92,0.89,69.0,6381.0
2025-06-07,1749268800,FED-25SEP-T3.50,0.93,0.93,0.93,0.93,0.93,0.87,0.91,0.89,312.0,6693.0
2025-06-08,1749355200,FED-25SEP-T3.50,,,,,,0.82,0.92,0.87,0.0,6693.0
2025-06-09,1749441600,FED-25SEP-T3.50,0.92,0.92,0.92,0.92,0.92,0.81,1.0,0.905,675.0,6693.0
2025-06-10,1749528000,FED-25SEP-T3.50,,,,,,0.81,1.0,0.905,0.0,6693.0
2025-06-11,1749614400,FED-25SEP-T3.50,,,,,,0.84,0.98,0.9099999999999999,0.0,6693.0
2025-06-12,1749700800,FED-25SEP-T3.50,,,,,,0.88,0.94,0.9099999999999999,0.0,6693.0
2025-06-13,1749787200,FED-25SEP-T3.50,,,,,,0.88,0.92,0.9,0.0,6693.0
2025-06-14,1749873600,FED-25SEP-T3.50,,,,,,0.86,0.92,0.89,0.0,6693.0
2025-06-15,1749960000,FED-25SEP-T3.50,,,,,,0.86,0.92,0.89,0.0,6693.0
2025-06-16,1750046400,FED-25SEP-T3.50,,,,,,0.86,0.92,0.89,0.0,6693.0
2025-06-17,1750132800,FED-25SEP-T3.50,,,,,,0.88,0.91,0.895,0.0,6693.0
2025-06-18,1750219200,FED-25SEP-T3.50,,,,,,0.87,0.91,0.89,0.0,6693.0
2025-06-19,1750305600,FED-25SEP-T3.50,0.95,0.91,0.95,0.91,0.9167,0.89,0.94,0.915,424.0,6833.0
2025-06-20,1750392000,FED-25SEP-T3.50,,,,,,0.88,1.0,0.94,0.0,6833.0
2025-06-21,1750478400,FED-25SEP-T3.50,,,,,,0.88,1.0,0.94,0.0,6833.0
2025-06-22,1750564800,FED-25SEP-T3.50,,,,,,0.88,1.0,0.94,0.0,6833.0
2025-06-23,1750651200,FED-25SEP-T3.50,,,,,,0.82,1.0,0.9099999999999999,0.0,6833.0
2025-06-24,1750737600,FED-25SEP-T3.50,,,,,,0.87,0.92,0.895,0.0,6833.0
2025-06-25,1750824000,FED-25SEP-T3.50,0.92,0.92,0.92,0.92,0.92,0.91,0.92,0.915,10.0,6833.0
2025-06-26,1750910400,FED-25SEP-T3.50,0.91,0.91,0.91,0.91,0.91,0.9,0.91,0.905,68.0,6833.0
2025-06-27,1750996800,FED-25SEP-T3.50,0.91,0.91,0.91,0.91,0.91,0.9,0.92,0.91,444.0,7199.0
