Time,solitaire
2024-12-08,61.081225930730355
2024-12-09,82.10918895606376
2024-12-10,88.1171783918733
2024-12-11,87.11584681923839
2024-12-12,88.1171783918733
2024-12-13,86.11451524660346
2024-12-14,62.08255750336528
2024-12-15,59.07856278546051
2024-12-16,87.11584681923839
2024-12-17,94.12516782768284
2024-12-18,84.11185210133361
2024-12-19,93.12383625504792
2024-12-20,80.10652581079391
2024-12-21,61.081225930730355
2024-12-22,56.07456806755574
2024-12-23,71.0945416570796
2024-12-24,64.08522064863513
2024-12-25,57.07589964019066
2024-12-26,65.08655222127005
2024-12-27,70.09321008444468
2024-12-28,62.08255750336528
2024-12-29,60.07989435809543
2024-12-30,71.0945416570796
2024-12-31,72.09587322971453
2025-01-01,65.08655222127005
2025-01-02,74.09853637498436
2025-01-03,74.09853637498436
2025-01-04,68.09054693917483
2025-01-05,65.08655222127005
2025-01-06,78.10386266552406
2025-01-07,88.1171783918733
2025-01-08,81.10785738342884
2025-01-09,82.10918895606376
2025-01-10,82.10918895606376
2025-01-11,66.08788379390498
2025-01-12,63.083889076000204
2025-01-13,85.11318367396854
2025-01-14,85.11318367396854
2025-01-15,88.1171783918733
2025-01-16,91.12117310977807
2025-01-17,89.11850996450822
2025-01-18,58.07723121282559
2025-01-19,60.07989435809543
2025-01-20,68.09054693917483
2025-01-21,82.10918895606376
2025-01-22,82.10918895606376
2025-01-23,83.11052052869869
2025-01-24,86.11451524660346
2025-01-25,70.09321008444468
2025-01-26,60.07989435809543
2025-01-27,84.11185210133361
2025-01-28,92.122504682413
2025-01-29,100.1331572634924
2025-01-30,95.12649940031777
2025-01-31,91.12117310977807
2025-02-01,62.08255750336528
2025-02-02,60.07989435809543
2025-02-03,91.12117310977807
2025-02-04,92.122504682413
2025-02-05,94.12516782768284
2025-02-06,91.12117310977807
2025-02-07,90.11984153714315
2025-02-08,68.09054693917483
2025-02-09,64.08522064863513
2025-02-10,89.11850996450822
2025-02-11,91.12117310977807
2025-02-12,89.11850996450822
2025-02-13,91.12117310977807
2025-02-14,85.11318367396854
2025-02-15,65.08655222127005
2025-02-16,65.08655222127005
2025-02-17,75.09986794761929
2025-02-18,88.1171783918733
2025-02-19,87.11584681923839
2025-02-20,86.11451524660346
2025-02-21,94.12516782768284
2025-02-22,64.08522064863513
2025-02-23,62.08255750336528
2025-02-24,87.11584681923839
2025-02-25,90.11984153714315
2025-02-26,90.11984153714315
2025-02-27,87.11584681923839
2025-02-28,85.11318367396854
2025-03-01,62.08255750336528
2025-03-02,58.07723121282559
2025-03-03,87.11584681923839
2025-03-04,90.11984153714315
2025-03-05,90.11984153714315
2025-03-06,91.12117310977807
2025-03-07,86.11451524660346
2025-03-08,68.09054693917483
2025-03-09,66.08788379390498
2025-03-10,87.11584681923839
2025-03-11,89.11850996450822
2025-03-12,87.11584681923839
2025-03-13,85.11318367396854
2025-03-14,80.10652581079391
2025-03-15,61.081225930730355
2025-03-16,58.07723121282559
2025-03-17,84.11185210133361
2025-03-18,88.1171783918733
2025-03-19,85.11318367396854
2025-03-20,83.11052052869869
2025-03-21,77.10253109288914
2025-03-22,55.07323649492081
2025-03-23,60.07989435809543
2025-03-24,83.11052052869869
2025-03-25,89.11850996450822
2025-03-26,88.1171783918733
2025-03-27,87.11584681923839
2025-03-28,86.11451524660346
2025-03-29,65.08655222127005
2025-03-30,61.081225930730355
2025-03-31,81.10785738342884
2025-04-01,83.11052052869869
2025-04-02,82.10918895606376
2025-04-03,91.12117310977807
2025-04-04,79.10519423815899
2025-04-05,59.07856278546051
2025-04-06,60.07989435809543
2025-04-07,84.11185210133361
2025-04-08,86.11451524660346
2025-04-09,87.11584681923839
2025-04-10,87.11584681923839
2025-04-11,87.11584681923839
2025-04-12,56.07456806755574
2025-04-13,58.07723121282559
2025-04-14,84.11185210133361
2025-04-15,86.84183997950271
2025-04-16,90.14733386220024
2025-04-17,87.292714110439
2025-04-18,70.2147872552527
2025-04-19,55.991480151827645
2025-04-20,56.94302006908139
2025-04-21,83.98722022774146
2025-04-22,83.486554441424
2025-04-23,81.13260047598021
2025-04-24,78.27798072421896
2025-04-25,80.18106055872647
2025-04-26,56.44235428276393
2025-04-27,57.393894200017684
2025-04-28,82.08414039323398
2025-04-29,85.89030006224897
2025-04-30,84.93876014499521
2025-05-01,85.38963427593151
2025-05-02,83.98722022774146
2025-05-03,58.84609990358889
2025-05-04,57.89455998633514
2025-05-05,81.13260047598021
2025-05-06,83.486554441424
2025-05-07,82.08414039323398
2025-05-08,83.03568031048772
2025-05-09,85.38963427593151
2025-05-10,57.89455998633514
2025-05-11,59.29697403452518
2025-05-12,84.43809435867774
2025-05-13,84.93876014499521
2025-05-14,81.13260047598021
2025-05-15,83.86258835414932
2025-05-16,84.7643366160219
2025-05-17,59.51538528358984
2025-05-18,57.7118887598447
2025-05-19,82.96084009227675
2025-05-20,86.56783313976705
2025-05-21,82.05909183040418
2025-05-22,83.86258835414932
2025-05-23,79.35384704478646
2025-05-24,58.613637021717274
2025-05-25,57.7118887598447
2025-05-26,64.92587485482528
2025-05-27,78.45209878291388
2025-05-28,79.35384704478646
2025-05-29,80.25559530665903
